"PHH_common_all","PHH_DEG_Steatosis","PHH_SVM_DEGs","PHH_SVM_Steatosis","PRH_common_all","PRH_DEG_Steatosis","PRH_SVM_DEGs","PRH_SVM_Steatosis","RLT_common_all","RLT_DEG_Steatosis","RLT_SVM_DEGs","RLT_SVM_Steatosis"
NA,"GSR","RNF41",NA,NA,NA,"PDIA5","CD163",NA,"IL13RA2","KHNYN","CYP7A1"
NA,"SIRT2","ZMAT5",NA,NA,NA,"GINM1","HADHA",NA,"TIMP1","TMEM132A","ADH4"
NA,"EPAS1","HECTD1",NA,NA,NA,"NNAT","ANGPTL4",NA,"CYP1A2","APPL1","ACOX1"
NA,"ATP7B","CHD9",NA,NA,NA,"TOR1AIP2","NGF",NA,"SREBF1","FGFR3","ADRB3"
NA,"ACACB","MT3",NA,NA,NA,"EVA1A","STS",NA,"ATG7","POLRMT","PTEN"
NA,"TF","HAGHL",NA,NA,NA,"CPQ","LGALS3",NA,"PRKAA1","USP8","IL1RN"
NA,"PRMT7","ZNF776",NA,NA,NA,NA,"UBD",NA,NA,"PAQR9","EPAS1"
NA,"ATG7","CADPS2",NA,NA,NA,NA,"SCARB1",NA,NA,"AQP1","SLC2A2"
NA,"CYP7B1","MBTPS1-DT",NA,NA,NA,NA,NA,NA,NA,"OS9","IGFBP7"
NA,"NR1I2","GK",NA,NA,NA,NA,NA,NA,NA,"LRRC71","MLYCD"
NA,"MLXIPL","TMED8",NA,NA,NA,NA,NA,NA,NA,"POLG","LDLR"
NA,"NR5A2","PPP2R2D",NA,NA,NA,NA,NA,NA,NA,"ECHDC3",NA
NA,"CD14","HDAC5",NA,NA,NA,NA,NA,NA,NA,"RCOR1",NA
NA,"CEBPB","PHACTR4",NA,NA,NA,NA,NA,NA,NA,"DICER1",NA
NA,"ALDH4A1","FAM221A",NA,NA,NA,NA,NA,NA,NA,"OCEL1",NA
NA,"NR1H4","RALY-AS1",NA,NA,NA,NA,NA,NA,NA,"GUCY1A1",NA
