Array Data File	Suggested_name	Steatogenic	Source Name	Characteristics[organism]	Characteristics[individual]	Characteristics[strain]	Characteristics[age]	Unit[time unit]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[genotype]	Characteristics[cohort]	Description	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Labeled Extract Name	Label	Protocol REF	Assay Name	Technology Type	Array Design REF	Term Source REF	Protocol REF	Comment [ArrayExpress FTP file]	Factor Value[cohort]	Term Source REF	Term Accession Number	Factor Value[compound]	Factor Value[dose]	Unit[dose unit]	Factor Value[time]	Unit[time unit]
003017007022.CEL	TG_rat_vit_Ami_280nm_24h_1	Yes	3017078014	Rattus norvegicus	5039061LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	amiodarone	Low - amiodarone	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5009021LRA	5009021LRA:biotin	biotin	P-MTAB-23069	3017007022	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.3.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	0.28	micromolar	24	hour
003017007023.CEL	TG_rat_vit_Ami_280nm_24h_2	Yes	3017078015	Rattus norvegicus	5039062LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	amiodarone	Low - amiodarone	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5009022LRA	5009022LRA:biotin	biotin	P-MTAB-23069	3017007023	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.3.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	0.28	micromolar	24	hour
003017346023.CEL	TG_rat_vit_Ami_1400nm_2h_1	Yes	3017077030	Rattus norvegicus	5039071LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	amiodarone	Middle - amiodarone	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5174061LRA	5174061LRA:biotin	biotin	P-MTAB-23069	3017346023	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.3.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	1.4	micromolar	2	hour
003017346024.CEL	TG_rat_vit_Ami_1400nm_2h_2	Yes	3017078001	Rattus norvegicus	5039072LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	amiodarone	Middle - amiodarone	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5174062LRA	5174062LRA:biotin	biotin	P-MTAB-23069	3017346024	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.3.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	1.4	micromolar	2	hour
003017346009.CEL	TG_rat_vit_Ami_1400nm_8h_1	Yes	3017078008	Rattus norvegicus	5039081LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	amiodarone	Middle - amiodarone	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5174071LRA	5174071LRA:biotin	biotin	P-MTAB-23069	3017346009	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.3.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	1.4	micromolar	8	hour
003017346010.CEL	TG_rat_vit_Ami_1400nm_8h_2	Yes	3017078009	Rattus norvegicus	5039082LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	amiodarone	Middle - amiodarone	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5174072LRA	5174072LRA:biotin	biotin	P-MTAB-23069	3017346010	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.3.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	1.4	micromolar	8	hour
003017346017.CEL	TG_rat_vit_Ami_1400nm_24h_1	Yes	3017078016	Rattus norvegicus	5039091LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	amiodarone	Middle - amiodarone	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5174081LRA	5174081LRA:biotin	biotin	P-MTAB-23069	3017346017	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.3.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	1.4	micromolar	24	hour
003017346018.CEL	TG_rat_vit_Ami_1400nm_24h_2	Yes	3017078017	Rattus norvegicus	5039092LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	amiodarone	Middle - amiodarone	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5174082LRA	5174082LRA:biotin	biotin	P-MTAB-23069	3017346018	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.3.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	1.4	micromolar	24	hour
003017251002.CEL	TG_rat_vit_Ami_7um_2h_1	Yes	3017078002	Rattus norvegicus	5039101LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	amiodarone	High - amiodarone	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5127061LRA	5127061LRA:biotin	biotin	P-MTAB-23069	3017251002	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.3.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	7	micromolar	2	hour
003017251003.CEL	TG_rat_vit_Ami_7um_2h_2	Yes	3017078003	Rattus norvegicus	5039102LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	amiodarone	High - amiodarone	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5127062LRA	5127062LRA:biotin	biotin	P-MTAB-23069	3017251003	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.3.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	7	micromolar	2	hour
003017250018.CEL	TG_rat_vit_Ami_7um_8h_1	Yes	3017078010	Rattus norvegicus	5039111LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	amiodarone	High - amiodarone	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5127071LRA	5127071LRA:biotin	biotin	P-MTAB-23069	3017250018	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.3.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	7	micromolar	8	hour
003017250019.CEL	TG_rat_vit_Ami_7um_8h_2	Yes	3017078011	Rattus norvegicus	5039112LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	amiodarone	High - amiodarone	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5127072LRA	5127072LRA:biotin	biotin	P-MTAB-23069	3017250019	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.3.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	7	micromolar	8	hour
003017250026.CEL	TG_rat_vit_Ami_7um_24h_1	Yes	3017078018	Rattus norvegicus	5039121LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	amiodarone	High - amiodarone	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5127081LRA	5127081LRA:biotin	biotin	P-MTAB-23069	3017250026	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.3.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	7	micromolar	24	hour
003017250027.CEL	TG_rat_vit_Ami_7um_24h_2	Yes	3017078019	Rattus norvegicus	5039122LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	amiodarone	High - amiodarone	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5127082LRA	5127082LRA:biotin	biotin	P-MTAB-23069	3017250027	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.3.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	7	micromolar	24	hour
003017115005.CEL	TG_rat_vit_Ctc_ctl_2h_1	No	3017722023	Rattus norvegicus	5005011LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	carbon tetrachloride	Control - carbon tetrachloride	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5045071LRA	5045071LRA:biotin	biotin	P-MTAB-23069	3017115005	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.7.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	none	  	  	2	hour
003017115006.CEL	TG_rat_vit_Ctc_ctl_2h_2	No	3017722024	Rattus norvegicus	5005012LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	carbon tetrachloride	Control - carbon tetrachloride	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5045072LRA	5045072LRA:biotin	biotin	P-MTAB-23069	3017115006	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.7.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	none	  	  	2	hour
003017115013.CEL	TG_rat_vit_Ctc_ctl_8h_1	No	3017722029	Rattus norvegicus	5005031LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	carbon tetrachloride	Control - carbon tetrachloride	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5045081LRA	5045081LRA:biotin	biotin	P-MTAB-23069	3017115013	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.7.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	none	  	  	8	hour
003017115014.CEL	TG_rat_vit_Ctc_ctl_8h_2	No	3017722030	Rattus norvegicus	5005032LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	carbon tetrachloride	Control - carbon tetrachloride	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5045082LRA	5045082LRA:biotin	biotin	P-MTAB-23069	3017115014	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.7.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	none	  	  	8	hour
003017115021.CEL	TG_rat_vit_Ctc_ctl_24h_1	No	3017723007	Rattus norvegicus	5005041LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	carbon tetrachloride	Control - carbon tetrachloride	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5045091LRA	5045091LRA:biotin	biotin	P-MTAB-23069	3017115021	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.7.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	none	  	  	24	hour
003017115022.CEL	TG_rat_vit_Ctc_ctl_24h_2	No	3017723008	Rattus norvegicus	5005042LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	carbon tetrachloride	Control - carbon tetrachloride	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5045092LRA	5045092LRA:biotin	biotin	P-MTAB-23069	3017115022	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.7.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	none	  	  	24	hour
003017289026.CEL	TG_rat_vit_Ctc_1000um_2h_1	Yes	3017722025	Rattus norvegicus	5005161LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	carbon tetrachloride	Low - carbon tetrachloride	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5138031LRA	5138031LRA:biotin	biotin	P-MTAB-23069	3017289026	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.7.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	1000	micromolar	2	hour
003017289027.CEL	TG_rat_vit_Ctc_1000um_2h_2	Yes	3017722026	Rattus norvegicus	5005162LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	carbon tetrachloride	Low - carbon tetrachloride	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5138032LRA	5138032LRA:biotin	biotin	P-MTAB-23069	3017289027	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.7.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	1000	micromolar	2	hour
