Array Data File	Suggested_name	Steatogenic	Source Name	Characteristics[organism]	Characteristics[individual]	Characteristics[strain]	Characteristics[age]	Unit[time unit]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[genotype]	Characteristics[cohort]	Description	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Labeled Extract Name	Label	Protocol REF	Assay Name	Technology Type	Array Design REF	Term Source REF	Protocol REF	Comment [ArrayExpress FTP file]	Factor Value[cohort]	Term Source REF	Term Accession Number	Factor Value[compound]	Factor Value[dose]	Unit[dose unit]	Factor Value[time]	Unit[time unit]
003017289012.CEL	TG_rat_vit_Ctc_1000um_8h_1	Yes	3017723001	Rattus norvegicus	5005181LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	carbon tetrachloride	Low - carbon tetrachloride	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5138041LRA	5138041LRA:biotin	biotin	P-MTAB-23069	3017289012	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.7.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	1000	micromolar	8	hour
003017289013.CEL	TG_rat_vit_Ctc_1000um_8h_2	Yes	3017723002	Rattus norvegicus	5005182LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	carbon tetrachloride	Low - carbon tetrachloride	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5138042LRA	5138042LRA:biotin	biotin	P-MTAB-23069	3017289013	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.7.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	1000	micromolar	8	hour
003017289020.CEL	TG_rat_vit_Ctc_1000um_24h_1	Yes	3017723009	Rattus norvegicus	5005191LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	carbon tetrachloride	Low - carbon tetrachloride	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5138051LRA	5138051LRA:biotin	biotin	P-MTAB-23069	3017289020	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.7.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	1000	micromolar	24	hour
003017289021.CEL	TG_rat_vit_Ctc_1000um_24h_2	Yes	3017723010	Rattus norvegicus	5005192LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	carbon tetrachloride	Low - carbon tetrachloride	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5138052LRA	5138052LRA:biotin	biotin	P-MTAB-23069	3017289021	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.7.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	1000	micromolar	24	hour
003017305022.CEL	TG_rat_vit_Ctc_3000um_2h_1	Yes	3017722027	Rattus norvegicus	5005211LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	carbon tetrachloride	Middle - carbon tetrachloride	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5149091LRA	5149091LRA:biotin	biotin	P-MTAB-23069	3017305022	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.7.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	3000	micromolar	2	hour
003017305023.CEL	TG_rat_vit_Ctc_3000um_2h_2	Yes	3017722028	Rattus norvegicus	5005212LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	carbon tetrachloride	Middle - carbon tetrachloride	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5149092LRA	5149092LRA:biotin	biotin	P-MTAB-23069	3017305023	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.7.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	3000	micromolar	2	hour
003017305008.CEL	TG_rat_vit_Ctc_3000um_8h_1	Yes	3017723003	Rattus norvegicus	5005231LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	carbon tetrachloride	Middle - carbon tetrachloride	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5149101LRA	5149101LRA:biotin	biotin	P-MTAB-23069	3017305008	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.7.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	3000	micromolar	8	hour
003017305009.CEL	TG_rat_vit_Ctc_3000um_8h_2	Yes	3017723004	Rattus norvegicus	5005232LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	carbon tetrachloride	Middle - carbon tetrachloride	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5149102LRA	5149102LRA:biotin	biotin	P-MTAB-23069	3017305009	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.7.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	3000	micromolar	8	hour
003017305016.CEL	TG_rat_vit_Ctc_3000um_24h_1	Yes	3017723011	Rattus norvegicus	5005241LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	carbon tetrachloride	Middle - carbon tetrachloride	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5149111LRA	5149111LRA:biotin	biotin	P-MTAB-23069	3017305016	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.7.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	3000	micromolar	24	hour
003017305017.CEL	TG_rat_vit_Ctc_3000um_24h_2	Yes	3017723012	Rattus norvegicus	5005242LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	carbon tetrachloride	Middle - carbon tetrachloride	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5149112LRA	5149112LRA:biotin	biotin	P-MTAB-23069	3017305017	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.7.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	3000	micromolar	24	hour
003017343019.CEL	TG_rat_vit_Ctc_10000um_8h_1	Yes	3017723005	Rattus norvegicus	5005281LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	carbon tetrachloride	High - carbon tetrachloride	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5175121LRA	5175121LRA:biotin	biotin	P-MTAB-23069	3017343019	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.7.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	10000	micromolar	8	hour
003017343020.CEL	TG_rat_vit_Ctc_10000um_8h_2	Yes	3017723006	Rattus norvegicus	5005282LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	carbon tetrachloride	High - carbon tetrachloride	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5175122LRA	5175122LRA:biotin	biotin	P-MTAB-23069	3017343020	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.7.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	10000	micromolar	8	hour
003017077026.CEL	TG_rat_vit_Col_ctl_2h_1	No	3017329003	Rattus norvegicus	5168011LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	colchicine	Control - colchicine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5039011LRA	5039011LRA:biotin	biotin	P-MTAB-23069	3017077026	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.11.zip	colchicine	ChEMBL	CHEMBL107	none	  	  	2	hour
003017077027.CEL	TG_rat_vit_Col_ctl_2h_2	No	3017329004	Rattus norvegicus	5168012LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	colchicine	Control - colchicine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5039012LRA	5039012LRA:biotin	biotin	P-MTAB-23069	3017077027	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.11.zip	colchicine	ChEMBL	CHEMBL107	none	  	  	2	hour
003017078004.CEL	TG_rat_vit_Col_ctl_8h_1	No	3017329011	Rattus norvegicus	5168021LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	colchicine	Control - colchicine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5039021LRA	5039021LRA:biotin	biotin	P-MTAB-23069	3017078004	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.11.zip	colchicine	ChEMBL	CHEMBL107	none	  	  	8	hour
003017078005.CEL	TG_rat_vit_Col_ctl_8h_2	No	3017329012	Rattus norvegicus	5168022LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	colchicine	Control - colchicine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5039022LRA	5039022LRA:biotin	biotin	P-MTAB-23069	3017078005	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.11.zip	colchicine	ChEMBL	CHEMBL107	none	  	  	8	hour
003017078012.CEL	TG_rat_vit_Col_ctl_24h_1	No	3017329019	Rattus norvegicus	5168031LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	colchicine	Control - colchicine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5039031LRA	5039031LRA:biotin	biotin	P-MTAB-23069	3017078012	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.11.zip	colchicine	ChEMBL	CHEMBL107	none	  	  	24	hour
003017078013.CEL	TG_rat_vit_Col_ctl_24h_2	No	3017329020	Rattus norvegicus	5168032LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	colchicine	Control - colchicine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5039032LRA	5039032LRA:biotin	biotin	P-MTAB-23069	3017078013	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.11.zip	colchicine	ChEMBL	CHEMBL107	none	  	  	24	hour
003017547029.CEL	TG_rat_vit_Col_200um_2h_1	No	3017329005	Rattus norvegicus	5168041LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	colchicine	Low - colchicine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5204031LRA	5204031LRA:biotin	biotin	P-MTAB-23069	3017547029	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.11.zip	colchicine	ChEMBL	CHEMBL107	colchicine	200	micromolar	2	hour
003017547030.CEL	TG_rat_vit_Col_200um_2h_2	No	3017329006	Rattus norvegicus	5168042LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	colchicine	Low - colchicine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5204032LRA	5204032LRA:biotin	biotin	P-MTAB-23069	3017547030	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.11.zip	colchicine	ChEMBL	CHEMBL107	colchicine	200	micromolar	2	hour
003017547015.CEL	TG_rat_vit_Col_200um_8h_1	No	3017329013	Rattus norvegicus	5168051LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	colchicine	Low - colchicine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5204041LRA	5204041LRA:biotin	biotin	P-MTAB-23069	3017547015	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.11.zip	colchicine	ChEMBL	CHEMBL107	colchicine	200	micromolar	8	hour
003017547016.CEL	TG_rat_vit_Col_200um_8h_2	No	3017329014	Rattus norvegicus	5168052LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	colchicine	Low - colchicine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5204042LRA	5204042LRA:biotin	biotin	P-MTAB-23069	3017547016	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.11.zip	colchicine	ChEMBL	CHEMBL107	colchicine	200	micromolar	8	hour
003017547023.CEL	TG_rat_vit_Col_200um_24h_1	No	3017329021	Rattus norvegicus	5168061LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	colchicine	Low - colchicine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5204051LRA	5204051LRA:biotin	biotin	P-MTAB-23069	3017547023	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.11.zip	colchicine	ChEMBL	CHEMBL107	colchicine	200	micromolar	24	hour
003017547024.CEL	TG_rat_vit_Col_200um_24h_2	No	3017329022	Rattus norvegicus	5168062LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	colchicine	Low - colchicine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5204052LRA	5204052LRA:biotin	biotin	P-MTAB-23069	3017547024	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.11.zip	colchicine	ChEMBL	CHEMBL107	colchicine	200	micromolar	24	hour
003017289028.CEL	TG_rat_vit_Col_1000um_2h_1	No	3017329007	Rattus norvegicus	5168071LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	colchicine	Middle - colchicine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5138061LRA	5138061LRA:biotin	biotin	P-MTAB-23069	3017289028	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.11.zip	colchicine	ChEMBL	CHEMBL107	colchicine	1000	micromolar	2	hour
003017289029.CEL	TG_rat_vit_Col_1000um_2h_2	No	3017329008	Rattus norvegicus	5168072LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	colchicine	Middle - colchicine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5138062LRA	5138062LRA:biotin	biotin	P-MTAB-23069	3017289029	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.11.zip	colchicine	ChEMBL	CHEMBL107	colchicine	1000	micromolar	2	hour
003017289014.CEL	TG_rat_vit_Col_1000um_8h_1	No	3017329015	Rattus norvegicus	5168081LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	colchicine	Middle - colchicine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5138071LRA	5138071LRA:biotin	biotin	P-MTAB-23069	3017289014	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.11.zip	colchicine	ChEMBL	CHEMBL107	colchicine	1000	micromolar	8	hour
003017289015.CEL	TG_rat_vit_Col_1000um_8h_2	No	3017329016	Rattus norvegicus	5168082LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	colchicine	Middle - colchicine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5138072LRA	5138072LRA:biotin	biotin	P-MTAB-23069	3017289015	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.11.zip	colchicine	ChEMBL	CHEMBL107	colchicine	1000	micromolar	8	hour
003017289022.CEL	TG_rat_vit_Col_1000um_24h_1	No	3017329023	Rattus norvegicus	5168091LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	colchicine	Middle - colchicine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5138081LRA	5138081LRA:biotin	biotin	P-MTAB-23069	3017289022	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.11.zip	colchicine	ChEMBL	CHEMBL107	colchicine	1000	micromolar	24	hour
003017289023.CEL	TG_rat_vit_Col_1000um_24h_2	No	3017329024	Rattus norvegicus	5168092LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	colchicine	Middle - colchicine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5138082LRA	5138082LRA:biotin	biotin	P-MTAB-23069	3017289023	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.11.zip	colchicine	ChEMBL	CHEMBL107	colchicine	1000	micromolar	24	hour
003017297019.CEL	TG_rat_vit_Col_5000um_2h_1	No	3017329009	Rattus norvegicus	5168101LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	colchicine	High - colchicine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5146061LRA	5146061LRA:biotin	biotin	P-MTAB-23069	3017297019	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.11.zip	colchicine	ChEMBL	CHEMBL107	colchicine	5000	micromolar	2	hour
003017297020.CEL	TG_rat_vit_Col_5000um_2h_2	No	3017329010	Rattus norvegicus	5168102LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	colchicine	High - colchicine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5146062LRA	5146062LRA:biotin	biotin	P-MTAB-23069	3017297020	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.11.zip	colchicine	ChEMBL	CHEMBL107	colchicine	5000	micromolar	2	hour
003017297005.CEL	TG_rat_vit_Col_5000um_8h_1	No	3017329017	Rattus norvegicus	5168111LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	colchicine	High - colchicine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5146071LRA	5146071LRA:biotin	biotin	P-MTAB-23069	3017297005	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.11.zip	colchicine	ChEMBL	CHEMBL107	colchicine	5000	micromolar	8	hour
003017297006.CEL	TG_rat_vit_Col_5000um_8h_2	No	3017329018	Rattus norvegicus	5168112LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	colchicine	High - colchicine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5146072LRA	5146072LRA:biotin	biotin	P-MTAB-23069	3017297006	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.12.zip	colchicine	ChEMBL	CHEMBL107	colchicine	5000	micromolar	8	hour
003017297013.CEL	TG_rat_vit_Col_5000um_24h_1	No	3017329025	Rattus norvegicus	5168121LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	colchicine	High - colchicine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5146081LRA	5146081LRA:biotin	biotin	P-MTAB-23069	3017297013	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.12.zip	colchicine	ChEMBL	CHEMBL107	colchicine	5000	micromolar	24	hour
003017297014.CEL	TG_rat_vit_Col_5000um_24h_2	No	3017329026	Rattus norvegicus	5168122LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	colchicine	High - colchicine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5146082LRA	5146082LRA:biotin	biotin	P-MTAB-23069	3017297014	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.12.zip	colchicine	ChEMBL	CHEMBL107	colchicine	5000	micromolar	24	hour
003017388019.CEL	TG_rat_vit_Imi_ctl_2h_1	No	3017216023	Rattus norvegicus	5120011LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	imipramine	Control - imipramine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5188041LRA	5188041LRA:biotin	biotin	P-MTAB-23069	3017388019	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.21.zip	imipramine	ChEMBL	CHEMBL11	none	  	  	2	hour
003017388020.CEL	TG_rat_vit_Imi_ctl_2h_2	No	3017216024	Rattus norvegicus	5120012LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	imipramine	Control - imipramine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5188042LRA	5188042LRA:biotin	biotin	P-MTAB-23069	3017388020	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.21.zip	imipramine	ChEMBL	CHEMBL11	none	  	  	2	hour
003017388027.CEL	TG_rat_vit_Imi_ctl_8h_1	No	3017217001	Rattus norvegicus	5120021LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	imipramine	Control - imipramine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5188051LRA	5188051LRA:biotin	biotin	P-MTAB-23069	3017388027	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.21.zip	imipramine	ChEMBL	CHEMBL11	none	  	  	8	hour
003017388028.CEL	TG_rat_vit_Imi_ctl_8h_2	No	3017217002	Rattus norvegicus	5120022LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	imipramine	Control - imipramine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5188052LRA	5188052LRA:biotin	biotin	P-MTAB-23069	3017388028	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.21.zip	imipramine	ChEMBL	CHEMBL11	none	  	  	8	hour
003017389005.CEL	TG_rat_vit_Imi_ctl_24h_1	No	3017217009	Rattus norvegicus	5120031LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	imipramine	Control - imipramine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5188061LRA	5188061LRA:biotin	biotin	P-MTAB-23069	3017389005	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.21.zip	imipramine	ChEMBL	CHEMBL11	none	  	  	24	hour
003017389006.CEL	TG_rat_vit_Imi_ctl_24h_2	No	3017217010	Rattus norvegicus	5120032LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	imipramine	Control - imipramine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5188062LRA	5188062LRA:biotin	biotin	P-MTAB-23069	3017389006	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.21.zip	imipramine	ChEMBL	CHEMBL11	none	  	  	24	hour
