Array Data File	Suggested_name	Steatogenic	Source Name	Characteristics[organism]	Characteristics[individual]	Characteristics[strain]	Characteristics[age]	Unit[time unit]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[organism part]	Characteristics[genotype]	Characteristics[cohort]	Description	Material Type	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Assay Name	Technology Type	Array Design REF	Term Source REF	Comment [ArrayExpress FTP file]	Factor Value[cohort]	Term Source REF	Term Accession Number	Factor Value[compound]	Factor Value[dose]	Unit[dose unit]	Factor Value[time]	Unit[time unit]	Factor Value[organism part]
003017633025.CEL	TG_rat_viv_Ami_Ctl_9h_7	No	3017633025	Rattus norvegicus	634011	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	amiodarone	amiodarone administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0634011LRA	RNA	P-MTAB-22990	0634011LRA:biotin	biotin	P-MTAB-22991	3017633025	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.78.zip	amiodarone	ChEMBL	CHEMBL633	none	  	  	9	hour	liver
003017633026.CEL	TG_rat_viv_Ami_Ctl_9h_8	No	3017633026	Rattus norvegicus	634012	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	amiodarone	amiodarone administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0634012LRA	RNA	P-MTAB-22990	0634012LRA:biotin	biotin	P-MTAB-22991	3017633026	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.78.zip	amiodarone	ChEMBL	CHEMBL633	none	  	  	9	hour	liver
003017633027.CEL	TG_rat_viv_Ami_Ctl_9h_9	No	3017633027	Rattus norvegicus	634013	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	amiodarone	amiodarone administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0634013LRA	RNA	P-MTAB-22990	0634013LRA:biotin	biotin	P-MTAB-22991	3017633027	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.78.zip	amiodarone	ChEMBL	CHEMBL633	none	  	  	9	hour	liver
003017634007.CEL	TG_rat_viv_Ami_Ctl_9h_10	No	3017634007	Rattus norvegicus	634021	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	amiodarone	amiodarone administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0634021LRA	RNA	P-MTAB-22990	0634021LRA:biotin	biotin	P-MTAB-22991	3017634007	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.78.zip	amiodarone	ChEMBL	CHEMBL633	none	  	  	9	hour	liver
003017634008.CEL	TG_rat_viv_Ami_Ctl_9h_11	No	3017634008	Rattus norvegicus	634022	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	amiodarone	amiodarone administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0634022LRA	RNA	P-MTAB-22990	0634022LRA:biotin	biotin	P-MTAB-22991	3017634008	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.78.zip	amiodarone	ChEMBL	CHEMBL633	none	  	  	9	hour	liver
003017634009.CEL	TG_rat_viv_Ami_Ctl_24h_1	No	3017634009	Rattus norvegicus	634025	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	amiodarone	amiodarone administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0634025LRA	RNA	P-MTAB-22990	0634025LRA:biotin	biotin	P-MTAB-22991	3017634009	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.78.zip	amiodarone	ChEMBL	CHEMBL633	none	  	  	24	hour	liver
003017661021.CEL	TG_rat_viv_Ctc_30mg_9h_1	Yes	3017661021	Rattus norvegicus	66111	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	carbon tetrachloride	carbon tetrachloride administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0066111LRB	RNA	P-MTAB-22990	0066111LRB:biotin	biotin	P-MTAB-22991	3017661021	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.14.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	30	milligram per kilogram	9	hour	liver
003017661022.CEL	TG_rat_viv_Ctc_30mg_9h_2	Yes	3017661022	Rattus norvegicus	66113	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	carbon tetrachloride	carbon tetrachloride administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0066113LRB	RNA	P-MTAB-22990	0066113LRB:biotin	biotin	P-MTAB-22991	3017661022	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.14.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	30	milligram per kilogram	9	hour	liver
003017661023.CEL	TG_rat_viv_Ctc_30mg_9h_3	Yes	3017661023	Rattus norvegicus	66114	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	carbon tetrachloride	carbon tetrachloride administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0066114LRB	RNA	P-MTAB-22990	0066114LRB:biotin	biotin	P-MTAB-22991	3017661023	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.14.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	30	milligram per kilogram	9	hour	liver
003017662003.CEL	TG_rat_viv_Ctc_30mg_9h_4	Yes	3017662003	Rattus norvegicus	66121	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	carbon tetrachloride	carbon tetrachloride administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0066121LRB	RNA	P-MTAB-22990	0066121LRB:biotin	biotin	P-MTAB-22991	3017662003	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.14.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	30	milligram per kilogram	9	hour	liver
003017662004.CEL	TG_rat_viv_Ctc_30mg_9h_1	Yes	3017662004	Rattus norvegicus	66122	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	carbon tetrachloride	carbon tetrachloride administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0066122LRB	RNA	P-MTAB-22990	0066122LRB:biotin	biotin	P-MTAB-22991	3017662004	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.14.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	30	milligram per kilogram	9	hour	liver
003017662005.CEL	TG_rat_viv_Ctc_30mg_9h_2	Yes	3017662005	Rattus norvegicus	66123	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	carbon tetrachloride	carbon tetrachloride administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0066123LRB	RNA	P-MTAB-22990	0066123LRB:biotin	biotin	P-MTAB-22991	3017662005	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.14.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	30	milligram per kilogram	9	hour	liver
003017662015.CEL	TG_rat_viv_Ctc_30mg_9h_3	Yes	3017662015	Rattus norvegicus	66132	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	carbon tetrachloride	carbon tetrachloride administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0066132LRB	RNA	P-MTAB-22990	0066132LRB:biotin	biotin	P-MTAB-22991	3017662015	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.14.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	30	milligram per kilogram	9	hour	liver
003017662016.CEL	TG_rat_viv_Ctc_30mg_9h_4	Yes	3017662016	Rattus norvegicus	66134	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	carbon tetrachloride	carbon tetrachloride administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0066134LRB	RNA	P-MTAB-22990	0066134LRB:biotin	biotin	P-MTAB-22991	3017662016	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.14.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	30	milligram per kilogram	9	hour	liver
003017662017.CEL	TG_rat_viv_Ctc_30mg_9h_5	Yes	3017662017	Rattus norvegicus	66135	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	carbon tetrachloride	carbon tetrachloride administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0066135LRB	RNA	P-MTAB-22990	0066135LRB:biotin	biotin	P-MTAB-22991	3017662017	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.14.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	30	milligram per kilogram	9	hour	liver
003017662027.CEL	TG_rat_viv_Ctc_30mg_9h_6	Yes	3017662027	Rattus norvegicus	66142	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	carbon tetrachloride	carbon tetrachloride administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0066142LRB	RNA	P-MTAB-22990	0066142LRB:biotin	biotin	P-MTAB-22991	3017662027	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.14.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	30	milligram per kilogram	9	hour	liver
003017662028.CEL	TG_rat_viv_Ctc_30mg_24h_1	Yes	3017662028	Rattus norvegicus	66143	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	carbon tetrachloride	carbon tetrachloride administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0066143LRB	RNA	P-MTAB-22990	0066143LRB:biotin	biotin	P-MTAB-22991	3017662028	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.14.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	30	milligram per kilogram	24	hour	liver
003017662029.CEL	TG_rat_viv_Ctc_30mg_24h_2	Yes	3017662029	Rattus norvegicus	66145	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	carbon tetrachloride	carbon tetrachloride administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0066145LRB	RNA	P-MTAB-22990	0066145LRB:biotin	biotin	P-MTAB-22991	3017662029	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.15.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	30	milligram per kilogram	24	hour	liver
003017661027.CEL	TG_rat_viv_Ctc_300mg_3h_1	Yes	3017661027	Rattus norvegicus	66213	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	carbon tetrachloride	carbon tetrachloride administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0066213LRB	RNA	P-MTAB-22990	0066213LRB:biotin	biotin	P-MTAB-22991	3017661027	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.15.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	300	milligram per kilogram	3	hour	liver
003017661028.CEL	TG_rat_viv_Ctc_300mg_3h_2	Yes	3017661028	Rattus norvegicus	66214	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	carbon tetrachloride	carbon tetrachloride administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0066214LRB	RNA	P-MTAB-22990	0066214LRB:biotin	biotin	P-MTAB-22991	3017661028	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.15.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	300	milligram per kilogram	3	hour	liver
003017661029.CEL	TG_rat_viv_Ctc_300mg_3h_3	Yes	3017661029	Rattus norvegicus	66215	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	carbon tetrachloride	carbon tetrachloride administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0066215LRB	RNA	P-MTAB-22990	0066215LRB:biotin	biotin	P-MTAB-22991	3017661029	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.15.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	300	milligram per kilogram	3	hour	liver
003017662009.CEL	TG_rat_viv_Ctc_300mg_3h_4	Yes	3017662009	Rattus norvegicus	66221	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	carbon tetrachloride	carbon tetrachloride administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0066221LRB	RNA	P-MTAB-22990	0066221LRB:biotin	biotin	P-MTAB-22991	3017662009	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.15.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	300	milligram per kilogram	3	hour	liver
003017662010.CEL	TG_rat_viv_Ctc_300mg_3h_5	Yes	3017662010	Rattus norvegicus	66222	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	carbon tetrachloride	carbon tetrachloride administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0066222LRB	RNA	P-MTAB-22990	0066222LRB:biotin	biotin	P-MTAB-22991	3017662010	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.15.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	300	milligram per kilogram	3	hour	liver
003017662011.CEL	TG_rat_viv_Ctc_300mg_3h_6	Yes	3017662011	Rattus norvegicus	66225	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	carbon tetrachloride	carbon tetrachloride administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0066225LRB	RNA	P-MTAB-22990	0066225LRB:biotin	biotin	P-MTAB-22991	3017662011	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.15.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	300	milligram per kilogram	3	hour	liver
003017662021.CEL	TG_rat_viv_Ctc_300mg_3h_7	Yes	3017662021	Rattus norvegicus	66233	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	carbon tetrachloride	carbon tetrachloride administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0066233LRB	RNA	P-MTAB-22990	0066233LRB:biotin	biotin	P-MTAB-22991	3017662021	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.15.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	300	milligram per kilogram	3	hour	liver
003017662022.CEL	TG_rat_viv_Ctc_300mg_3h_8	Yes	3017662022	Rattus norvegicus	66234	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	carbon tetrachloride	carbon tetrachloride administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0066234LRB	RNA	P-MTAB-22990	0066234LRB:biotin	biotin	P-MTAB-22991	3017662022	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.15.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	300	milligram per kilogram	3	hour	liver
003017662023.CEL	TG_rat_viv_Ctc_300mg_3h_9	Yes	3017662023	Rattus norvegicus	66235	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	carbon tetrachloride	carbon tetrachloride administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0066235LRB	RNA	P-MTAB-22990	0066235LRB:biotin	biotin	P-MTAB-22991	3017662023	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.15.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	300	milligram per kilogram	3	hour	liver
003017663003.CEL	TG_rat_viv_Ctc_300mg_3h_10	Yes	3017663003	Rattus norvegicus	66241	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	carbon tetrachloride	carbon tetrachloride administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0066241LRB	RNA	P-MTAB-22990	0066241LRB:biotin	biotin	P-MTAB-22991	3017663003	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.15.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	300	milligram per kilogram	3	hour	liver
003017663004.CEL	TG_rat_viv_Ctc_300mg_6h_1	Yes	3017663004	Rattus norvegicus	66242	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	carbon tetrachloride	carbon tetrachloride administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0066242LRB	RNA	P-MTAB-22990	0066242LRB:biotin	biotin	P-MTAB-22991	3017663004	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.15.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	300	milligram per kilogram	6	hour	liver
003017663005.CEL	TG_rat_viv_Ctc_300mg_6h_2	Yes	3017663005	Rattus norvegicus	66243	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	carbon tetrachloride	carbon tetrachloride administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0066243LRB	RNA	P-MTAB-22990	0066243LRB:biotin	biotin	P-MTAB-22991	3017663005	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.15.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	300	milligram per kilogram	6	hour	liver
003017661018.CEL	TG_rat_viv_Ctc_Ctl_9h_1	No	3017661018	Rattus norvegicus	66011	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	carbon tetrachloride	carbon tetrachloride administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0066011LRB	RNA	P-MTAB-22990	0066011LRB:biotin	biotin	P-MTAB-22991	3017661018	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.79.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	none	  	  	9	hour	liver
003017661019.CEL	TG_rat_viv_Ctc_Ctl_9h_2	No	3017661019	Rattus norvegicus	66012	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	carbon tetrachloride	carbon tetrachloride administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0066012LRB	RNA	P-MTAB-22990	0066012LRB:biotin	biotin	P-MTAB-22991	3017661019	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.79.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	none	  	  	9	hour	liver
003017661020.CEL	TG_rat_viv_Ctc_Ctl_9h_3	No	3017661020	Rattus norvegicus	66013	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	carbon tetrachloride	carbon tetrachloride administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0066013LRB	RNA	P-MTAB-22990	0066013LRB:biotin	biotin	P-MTAB-22991	3017661020	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.79.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	none	  	  	9	hour	liver
003017661030.CEL	TG_rat_viv_Ctc_Ctl_24h_1	No	3017661030	Rattus norvegicus	66021	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	carbon tetrachloride	carbon tetrachloride administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0066021LRB	RNA	P-MTAB-22990	0066021LRB:biotin	biotin	P-MTAB-22991	3017661030	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.79.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	none	  	  	24	hour	liver
003017662001.CEL	TG_rat_viv_Ctc_Ctl_24h_2	No	3017662001	Rattus norvegicus	66022	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	carbon tetrachloride	carbon tetrachloride administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0066022LRB	RNA	P-MTAB-22990	0066022LRB:biotin	biotin	P-MTAB-22991	3017662001	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.79.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	none	  	  	24	hour	liver
003017662002.CEL	TG_rat_viv_Ctc_Ctl_24h_3	No	3017662002	Rattus norvegicus	66023	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	carbon tetrachloride	carbon tetrachloride administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0066023LRB	RNA	P-MTAB-22990	0066023LRB:biotin	biotin	P-MTAB-22991	3017662002	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.79.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	none	  	  	24	hour	liver
003017662012.CEL	TG_rat_viv_Ctc_Ctl_24h_4	No	3017662012	Rattus norvegicus	66031	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	carbon tetrachloride	carbon tetrachloride administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0066031LRB	RNA	P-MTAB-22990	0066031LRB:biotin	biotin	P-MTAB-22991	3017662012	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.79.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	none	  	  	24	hour	liver
003017662013.CEL	TG_rat_viv_Ctc_Ctl_24h_5	No	3017662013	Rattus norvegicus	66033	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	carbon tetrachloride	carbon tetrachloride administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0066033LRB	RNA	P-MTAB-22990	0066033LRB:biotin	biotin	P-MTAB-22991	3017662013	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.79.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	none	  	  	24	hour	liver
003017662014.CEL	TG_rat_viv_Ctc_Ctl_24h_6	No	3017662014	Rattus norvegicus	66035	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	carbon tetrachloride	carbon tetrachloride administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0066035LRB	RNA	P-MTAB-22990	0066035LRB:biotin	biotin	P-MTAB-22991	3017662014	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.79.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	none	  	  	24	hour	liver
003017662024.CEL	TG_rat_viv_Ctc_Ctl_24h_7	No	3017662024	Rattus norvegicus	66041	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	carbon tetrachloride	carbon tetrachloride administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0066041LRB	RNA	P-MTAB-22990	0066041LRB:biotin	biotin	P-MTAB-22991	3017662024	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.79.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	none	  	  	24	hour	liver
003017662025.CEL	TG_rat_viv_Ctc_Ctl_24h_8	No	3017662025	Rattus norvegicus	66043	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	carbon tetrachloride	carbon tetrachloride administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0066043LRB	RNA	P-MTAB-22990	0066043LRB:biotin	biotin	P-MTAB-22991	3017662025	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.79.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	none	  	  	24	hour	liver
