Array Data File	Suggested_name	Steatogenic	Source Name	Characteristics[organism]	Characteristics[individual]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[genotype]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cohort]	Description	Material Type	Protocol REF	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Protocol REF	Protocol REF	Assay Name	Technology Type	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Comment [ArrayExpress FTP file]	Factor Value[cohort]	Term Source REF	Term Accession Number	Factor Value[compound]	Factor Value[dose]	Unit[dose unit]	Factor Value[time]	Unit[time unit]
003016028016.CEL	TG_hum_vit_AM_Low_24hr_1	Yes	5098061LRA	Homo sapiens	5098061LRA	adult	female	wild type genotype	liver	hepatocyte	amiodarone	amiodarone-Low	cell	P-MTAB-23086	P-MTAB-23087	5098061LRA	P-MTAB-23090	5098061LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016028016	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.40.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	0.28	micromolar	24	hour
003016028017.CEL	TG_hum_vit_AM_Low_24hr_2	Yes	5098062LRA	Homo sapiens	5098062LRA	adult	female	wild type genotype	liver	hepatocyte	amiodarone	amiodarone-Low	cell	P-MTAB-23086	P-MTAB-23087	5098062LRA	P-MTAB-23090	5098062LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016028017	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.40.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	0.28	micromolar	24	hour
003016028002.CEL	TG_hum_vit_AM_Mid_2hr_1	Yes	5098071LRA	Homo sapiens	5098071LRA	adult	female	wild type genotype	liver	hepatocyte	amiodarone	amiodarone-Middle	cell	P-MTAB-23086	P-MTAB-23087	5098071LRA	P-MTAB-23090	5098071LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016028002	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.40.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	1.4	micromolar	2	hour
003016028003.CEL	TG_hum_vit_AM_Mid_2hr_2	Yes	5098072LRA	Homo sapiens	5098072LRA	adult	female	wild type genotype	liver	hepatocyte	amiodarone	amiodarone-Middle	cell	P-MTAB-23086	P-MTAB-23087	5098072LRA	P-MTAB-23090	5098072LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016028003	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.40.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	1.4	micromolar	2	hour
003016028010.CEL	TG_hum_vit_AM_Mid_8hr_1	Yes	5098081LRA	Homo sapiens	5098081LRA	adult	female	wild type genotype	liver	hepatocyte	amiodarone	amiodarone-Middle	cell	P-MTAB-23086	P-MTAB-23087	5098081LRA	P-MTAB-23090	5098081LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016028010	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.40.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	1.4	micromolar	8	hour
003016028011.CEL	TG_hum_vit_AM_Mid_8hr_2	Yes	5098082LRA	Homo sapiens	5098082LRA	adult	female	wild type genotype	liver	hepatocyte	amiodarone	amiodarone-Middle	cell	P-MTAB-23086	P-MTAB-23087	5098082LRA	P-MTAB-23090	5098082LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016028011	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.40.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	1.4	micromolar	8	hour
003016028018.CEL	TG_hum_vit_AM_Mid_24hr_1	Yes	5098091LRA	Homo sapiens	5098091LRA	adult	female	wild type genotype	liver	hepatocyte	amiodarone	amiodarone-Middle	cell	P-MTAB-23086	P-MTAB-23087	5098091LRA	P-MTAB-23090	5098091LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016028018	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.40.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	1.4	micromolar	24	hour
003016028019.CEL	TG_hum_vit_AM_Mid_24hr_2	Yes	5098092LRA	Homo sapiens	5098092LRA	adult	female	wild type genotype	liver	hepatocyte	amiodarone	amiodarone-Middle	cell	P-MTAB-23086	P-MTAB-23087	5098092LRA	P-MTAB-23090	5098092LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016028019	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.40.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	1.4	micromolar	24	hour
003016028004.CEL	TG_hum_vit_AM_High_2hr_1	Yes	5098101LRA	Homo sapiens	5098101LRA	adult	female	wild type genotype	liver	hepatocyte	amiodarone	amiodarone-High	cell	P-MTAB-23086	P-MTAB-23087	5098101LRA	P-MTAB-23090	5098101LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016028004	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.40.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	7	micromolar	2	hour
003016028005.CEL	TG_hum_vit_AM_High_2hr_2	Yes	5098102LRA	Homo sapiens	5098102LRA	adult	female	wild type genotype	liver	hepatocyte	amiodarone	amiodarone-High	cell	P-MTAB-23086	P-MTAB-23087	5098102LRA	P-MTAB-23090	5098102LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016028005	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.40.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	7	micromolar	2	hour
