Array Data File	Suggested_name	Steatogenic	Source Name	Characteristics[organism]	Characteristics[individual]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[genotype]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cohort]	Description	Material Type	Protocol REF	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Protocol REF	Protocol REF	Assay Name	Technology Type	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Comment [ArrayExpress FTP file]	Factor Value[cohort]	Term Source REF	Term Accession Number	Factor Value[compound]	Factor Value[dose]	Unit[dose unit]	Factor Value[time]	Unit[time unit]
003016018006.CEL	TG_hum_vit_CCL4_Low_2hr_1	Yes	5068041LRA	Homo sapiens	5068041LRA	adult	female	wild type genotype	liver	hepatocyte	carbon tetrachloride	carbon tetrachloride-Low	cell	P-MTAB-23086	P-MTAB-23087	5068041LRA	P-MTAB-23090	5068041LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016018006	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.29.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	300	micromolar	2	hour
003016018007.CEL	TG_hum_vit_CCL4_Low_2hr_2	Yes	5068042LRA	Homo sapiens	5068042LRA	adult	female	wild type genotype	liver	hepatocyte	carbon tetrachloride	carbon tetrachloride-Low	cell	P-MTAB-23086	P-MTAB-23087	5068042LRA	P-MTAB-23090	5068042LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016018007	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.29.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	300	micromolar	2	hour
003016018014.CEL	TG_hum_vit_CCL4_Low_8hr_1	Yes	5068051LRA	Homo sapiens	5068051LRA	adult	female	wild type genotype	liver	hepatocyte	carbon tetrachloride	carbon tetrachloride-Low	cell	P-MTAB-23086	P-MTAB-23087	5068051LRA	P-MTAB-23090	5068051LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016018014	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.29.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	300	micromolar	8	hour
003016018015.CEL	TG_hum_vit_CCL4_Low_8hr_2	Yes	5068052LRA	Homo sapiens	5068052LRA	adult	female	wild type genotype	liver	hepatocyte	carbon tetrachloride	carbon tetrachloride-Low	cell	P-MTAB-23086	P-MTAB-23087	5068052LRA	P-MTAB-23090	5068052LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016018015	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.29.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	300	micromolar	8	hour
003016018022.CEL	TG_hum_vit_CCL4_Low_24hr_1	Yes	5068061LRA	Homo sapiens	5068061LRA	adult	female	wild type genotype	liver	hepatocyte	carbon tetrachloride	carbon tetrachloride-Low	cell	P-MTAB-23086	P-MTAB-23087	5068061LRA	P-MTAB-23090	5068061LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016018022	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.29.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	300	micromolar	24	hour
003016018023.CEL	TG_hum_vit_CCL4_Low_24hr_2	Yes	5068062LRA	Homo sapiens	5068062LRA	adult	female	wild type genotype	liver	hepatocyte	carbon tetrachloride	carbon tetrachloride-Low	cell	P-MTAB-23086	P-MTAB-23087	5068062LRA	P-MTAB-23090	5068062LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016018023	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.29.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	300	micromolar	24	hour
003016018008.CEL	TG_hum_vit_CCL4_Mid_2hr_1	Yes	5068071LRA	Homo sapiens	5068071LRA	adult	female	wild type genotype	liver	hepatocyte	carbon tetrachloride	carbon tetrachloride-Middle	cell	P-MTAB-23086	P-MTAB-23087	5068071LRA	P-MTAB-23090	5068071LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016018008	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.29.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	1500	micromolar	2	hour
003016018009.CEL	TG_hum_vit_CCL4_Mid_2hr_2	Yes	5068072LRA	Homo sapiens	5068072LRA	adult	female	wild type genotype	liver	hepatocyte	carbon tetrachloride	carbon tetrachloride-Middle	cell	P-MTAB-23086	P-MTAB-23087	5068072LRA	P-MTAB-23090	5068072LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016018009	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.29.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	1500	micromolar	2	hour
003016018016.CEL	TG_hum_vit_CCL4_Mid_8hr_1	Yes	5068081LRA	Homo sapiens	5068081LRA	adult	female	wild type genotype	liver	hepatocyte	carbon tetrachloride	carbon tetrachloride-Middle	cell	P-MTAB-23086	P-MTAB-23087	5068081LRA	P-MTAB-23090	5068081LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016018016	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.29.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	1500	micromolar	8	hour
003016018017.CEL	TG_hum_vit_CCL4_Mid_8hr_2	Yes	5068082LRA	Homo sapiens	5068082LRA	adult	female	wild type genotype	liver	hepatocyte	carbon tetrachloride	carbon tetrachloride-Middle	cell	P-MTAB-23086	P-MTAB-23087	5068082LRA	P-MTAB-23090	5068082LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016018017	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.29.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	1500	micromolar	8	hour
003016018024.CEL	TG_hum_vit_CCL4_Mid_24hr_1	Yes	5068091LRA	Homo sapiens	5068091LRA	adult	female	wild type genotype	liver	hepatocyte	carbon tetrachloride	carbon tetrachloride-Middle	cell	P-MTAB-23086	P-MTAB-23087	5068091LRA	P-MTAB-23090	5068091LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016018024	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.29.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	1500	micromolar	24	hour
003016018025.CEL	TG_hum_vit_CCL4_Mid_24hr_2	Yes	5068092LRA	Homo sapiens	5068092LRA	adult	female	wild type genotype	liver	hepatocyte	carbon tetrachloride	carbon tetrachloride-Middle	cell	P-MTAB-23086	P-MTAB-23087	5068092LRA	P-MTAB-23090	5068092LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016018025	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.29.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	1500	micromolar	24	hour
003016018010.CEL	TG_hum_vit_CCL4_High_2hr_1	Yes	5068101LRA	Homo sapiens	5068101LRA	adult	female	wild type genotype	liver	hepatocyte	carbon tetrachloride	carbon tetrachloride-High	cell	P-MTAB-23086	P-MTAB-23087	5068101LRA	P-MTAB-23090	5068101LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016018010	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.29.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	7500	micromolar	2	hour
003016018011.CEL	TG_hum_vit_CCL4_High_2hr_2	Yes	5068102LRA	Homo sapiens	5068102LRA	adult	female	wild type genotype	liver	hepatocyte	carbon tetrachloride	carbon tetrachloride-High	cell	P-MTAB-23086	P-MTAB-23087	5068102LRA	P-MTAB-23090	5068102LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016018011	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.30.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	7500	micromolar	2	hour
003016018018.CEL	TG_hum_vit_CCL4_High_8hr_1	Yes	5068111LRA	Homo sapiens	5068111LRA	adult	female	wild type genotype	liver	hepatocyte	carbon tetrachloride	carbon tetrachloride-High	cell	P-MTAB-23086	P-MTAB-23087	5068111LRA	P-MTAB-23090	5068111LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016018018	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.30.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	7500	micromolar	8	hour
003016018019.CEL	TG_hum_vit_CCL4_High_8hr_2	Yes	5068112LRA	Homo sapiens	5068112LRA	adult	female	wild type genotype	liver	hepatocyte	carbon tetrachloride	carbon tetrachloride-High	cell	P-MTAB-23086	P-MTAB-23087	5068112LRA	P-MTAB-23090	5068112LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016018019	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.30.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	7500	micromolar	8	hour
003016018026.CEL	TG_hum_vit_CCL4_High_24hr_1	Yes	5068121LRA	Homo sapiens	5068121LRA	adult	female	wild type genotype	liver	hepatocyte	carbon tetrachloride	carbon tetrachloride-High	cell	P-MTAB-23086	P-MTAB-23087	5068121LRA	P-MTAB-23090	5068121LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016018026	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.30.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	7500	micromolar	24	hour
003016018027.CEL	TG_hum_vit_CCL4_High_24hr_2	Yes	5068122LRA	Homo sapiens	5068122LRA	adult	female	wild type genotype	liver	hepatocyte	carbon tetrachloride	carbon tetrachloride-High	cell	P-MTAB-23086	P-MTAB-23087	5068122LRA	P-MTAB-23090	5068122LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016018027	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.30.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	carbon tetrachloride	7500	micromolar	24	hour
003016075024.CEL	TG_hum_vit_COL_Ctl_8hr_1	No	5263011LRA	Homo sapiens	5263011LRA	adult	female	wild type genotype	liver	hepatocyte	colchicine	colchicine-Control	cell	P-MTAB-23086	P-MTAB-23087	5263011LRA	P-MTAB-23090	5263011LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016075024	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.1.zip	colchicine	ChEMBL	CHEMBL107	none	  	  	8	hour
003016075025.CEL	TG_hum_vit_COL_Ctl_8hr_2	No	5263012LRA	Homo sapiens	5263012LRA	adult	female	wild type genotype	liver	hepatocyte	colchicine	colchicine-Control	cell	P-MTAB-23086	P-MTAB-23087	5263012LRA	P-MTAB-23090	5263012LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016075025	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.1.zip	colchicine	ChEMBL	CHEMBL107	none	  	  	8	hour
003016075030.CEL	TG_hum_vit_COL_Ctl_24hr_1	No	5263021LRA	Homo sapiens	5263021LRA	adult	female	wild type genotype	liver	hepatocyte	colchicine	colchicine-Control	cell	P-MTAB-23086	P-MTAB-23087	5263021LRA	P-MTAB-23090	5263021LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016075030	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.1.zip	colchicine	ChEMBL	CHEMBL107	none	  	  	24	hour
003016076030.CEL	TG_hum_vit_COL_Ctl_24hr_2	No	5263022LRA	Homo sapiens	5263022LRA	adult	female	wild type genotype	liver	hepatocyte	colchicine	colchicine-Control	cell	P-MTAB-23086	P-MTAB-23087	5263022LRA	P-MTAB-23090	5263022LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016076030	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.2.zip	colchicine	ChEMBL	CHEMBL107	none	  	  	24	hour
003016075026.CEL	TG_hum_vit_COL_Mid_8hr_1	No	5263031LRA	Homo sapiens	5263031LRA	adult	female	wild type genotype	liver	hepatocyte	colchicine	colchicine-Middle	cell	P-MTAB-23086	P-MTAB-23087	5263031LRA	P-MTAB-23090	5263031LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016075026	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.2.zip	colchicine	ChEMBL	CHEMBL107	colchicine	800	micromolar	8	hour
003016075027.CEL	TG_hum_vit_COL_Mid_8hr_2	No	5263032LRA	Homo sapiens	5263032LRA	adult	female	wild type genotype	liver	hepatocyte	colchicine	colchicine-Middle	cell	P-MTAB-23086	P-MTAB-23087	5263032LRA	P-MTAB-23090	5263032LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016075027	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.2.zip	colchicine	ChEMBL	CHEMBL107	colchicine	800	micromolar	8	hour
003016076002.CEL	TG_hum_vit_COL_Mid_24hr_1	No	5263041LRA	Homo sapiens	5263041LRA	adult	female	wild type genotype	liver	hepatocyte	colchicine	colchicine-Middle	cell	P-MTAB-23086	P-MTAB-23087	5263041LRA	P-MTAB-23090	5263041LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016076002	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.2.zip	colchicine	ChEMBL	CHEMBL107	colchicine	800	micromolar	24	hour
003016076003.CEL	TG_hum_vit_COL_Mid_24hr_2	No	5263042LRA	Homo sapiens	5263042LRA	adult	female	wild type genotype	liver	hepatocyte	colchicine	colchicine-Middle	cell	P-MTAB-23086	P-MTAB-23087	5263042LRA	P-MTAB-23090	5263042LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016076003	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.2.zip	colchicine	ChEMBL	CHEMBL107	colchicine	800	micromolar	24	hour
003016075028.CEL	TG_hum_vit_COL_High_8hr_1	No	5263051LRA	Homo sapiens	5263051LRA	adult	female	wild type genotype	liver	hepatocyte	colchicine	colchicine-High	cell	P-MTAB-23086	P-MTAB-23087	5263051LRA	P-MTAB-23090	5263051LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016075028	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.2.zip	colchicine	ChEMBL	CHEMBL107	colchicine	4000	micromolar	8	hour
003016075029.CEL	TG_hum_vit_COL_High_8hr_2	No	5263052LRA	Homo sapiens	5263052LRA	adult	female	wild type genotype	liver	hepatocyte	colchicine	colchicine-High	cell	P-MTAB-23086	P-MTAB-23087	5263052LRA	P-MTAB-23090	5263052LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016075029	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.2.zip	colchicine	ChEMBL	CHEMBL107	colchicine	4000	micromolar	8	hour
003016076004.CEL	TG_hum_vit_COL_High_24hr_1	No	5263061LRA	Homo sapiens	5263061LRA	adult	female	wild type genotype	liver	hepatocyte	colchicine	colchicine-High	cell	P-MTAB-23086	P-MTAB-23087	5263061LRA	P-MTAB-23090	5263061LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016076004	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.2.zip	colchicine	ChEMBL	CHEMBL107	colchicine	4000	micromolar	24	hour
003016076005.CEL	TG_hum_vit_COL_High_24hr_2	No	5263062LRA	Homo sapiens	5263062LRA	adult	female	wild type genotype	liver	hepatocyte	colchicine	colchicine-High	cell	P-MTAB-23086	P-MTAB-23087	5263062LRA	P-MTAB-23090	5263062LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016076005	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.2.zip	colchicine	ChEMBL	CHEMBL107	colchicine	4000	micromolar	24	hour
003016065008.CEL	TG_hum_vit_IMI_Ctl_8hr_1	No	5233011LRA	Homo sapiens	5233011LRA	adult	female	wild type genotype	liver	hepatocyte	imipramine	imipramine-Control	cell	P-MTAB-23086	P-MTAB-23087	5233011LRA	P-MTAB-23090	5233011LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016065008	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.3.zip	imipramine	ChEMBL	CHEMBL11	none	  	  	8	hour
003016065009.CEL	TG_hum_vit_IMI_Ctl_8hr_2	No	5233012LRA	Homo sapiens	5233012LRA	adult	female	wild type genotype	liver	hepatocyte	imipramine	imipramine-Control	cell	P-MTAB-23086	P-MTAB-23087	5233012LRA	P-MTAB-23090	5233012LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016065009	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.3.zip	imipramine	ChEMBL	CHEMBL11	none	  	  	8	hour
003016065014.CEL	TG_hum_vit_IMI_Ctl_24hr_1	No	5233021LRA	Homo sapiens	5233021LRA	adult	female	wild type genotype	liver	hepatocyte	imipramine	imipramine-Control	cell	P-MTAB-23086	P-MTAB-23087	5233021LRA	P-MTAB-23090	5233021LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016065014	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.3.zip	imipramine	ChEMBL	CHEMBL11	none	  	  	24	hour
003016065015.CEL	TG_hum_vit_IMI_Ctl_24hr_2	No	5233022LRA	Homo sapiens	5233022LRA	adult	female	wild type genotype	liver	hepatocyte	imipramine	imipramine-Control	cell	P-MTAB-23086	P-MTAB-23087	5233022LRA	P-MTAB-23090	5233022LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016065015	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.3.zip	imipramine	ChEMBL	CHEMBL11	none	  	  	24	hour
003016065010.CEL	TG_hum_vit_IMI_Mid_8hr_1	No	5233031LRA	Homo sapiens	5233031LRA	adult	female	wild type genotype	liver	hepatocyte	imipramine	imipramine-Middle	cell	P-MTAB-23086	P-MTAB-23087	5233031LRA	P-MTAB-23090	5233031LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016065010	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.3.zip	imipramine	ChEMBL	CHEMBL11	imipramine	3	micromolar	8	hour
003016065011.CEL	TG_hum_vit_IMI_Mid_8hr_2	No	5233032LRA	Homo sapiens	5233032LRA	adult	female	wild type genotype	liver	hepatocyte	imipramine	imipramine-Middle	cell	P-MTAB-23086	P-MTAB-23087	5233032LRA	P-MTAB-23090	5233032LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016065011	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.3.zip	imipramine	ChEMBL	CHEMBL11	imipramine	3	micromolar	8	hour
003016065016.CEL	TG_hum_vit_IMI_Mid_24hr_1	No	5233041LRA	Homo sapiens	5233041LRA	adult	female	wild type genotype	liver	hepatocyte	imipramine	imipramine-Middle	cell	P-MTAB-23086	P-MTAB-23087	5233041LRA	P-MTAB-23090	5233041LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016065016	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.3.zip	imipramine	ChEMBL	CHEMBL11	imipramine	3	micromolar	24	hour
003016065017.CEL	TG_hum_vit_IMI_Mid_24hr_2	No	5233042LRA	Homo sapiens	5233042LRA	adult	female	wild type genotype	liver	hepatocyte	imipramine	imipramine-Middle	cell	P-MTAB-23086	P-MTAB-23087	5233042LRA	P-MTAB-23090	5233042LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016065017	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.3.zip	imipramine	ChEMBL	CHEMBL11	imipramine	3	micromolar	24	hour
003016065012.CEL	TG_hum_vit_IMI_High_8hr_1	No	5233051LRA	Homo sapiens	5233051LRA	adult	female	wild type genotype	liver	hepatocyte	imipramine	imipramine-High	cell	P-MTAB-23086	P-MTAB-23087	5233051LRA	P-MTAB-23090	5233051LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016065012	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.3.zip	imipramine	ChEMBL	CHEMBL11	imipramine	15	micromolar	8	hour
003016065013.CEL	TG_hum_vit_IMI_High_8hr_2	No	5233052LRA	Homo sapiens	5233052LRA	adult	female	wild type genotype	liver	hepatocyte	imipramine	imipramine-High	cell	P-MTAB-23086	P-MTAB-23087	5233052LRA	P-MTAB-23090	5233052LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016065013	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.3.zip	imipramine	ChEMBL	CHEMBL11	imipramine	15	micromolar	8	hour
003016065018.CEL	TG_hum_vit_IMI_High_24hr_1	No	5233061LRA	Homo sapiens	5233061LRA	adult	female	wild type genotype	liver	hepatocyte	imipramine	imipramine-High	cell	P-MTAB-23086	P-MTAB-23087	5233061LRA	P-MTAB-23090	5233061LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016065018	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.3.zip	imipramine	ChEMBL	CHEMBL11	imipramine	15	micromolar	24	hour
003016065019.CEL	TG_hum_vit_IMI_High_24hr_2	No	5233062LRA	Homo sapiens	5233062LRA	adult	female	wild type genotype	liver	hepatocyte	imipramine	imipramine-High	cell	P-MTAB-23086	P-MTAB-23087	5233062LRA	P-MTAB-23090	5233062LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016065019	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.4.zip	imipramine	ChEMBL	CHEMBL11	imipramine	15	micromolar	24	hour
003016060014.CEL	TG_hum_vit_TMX_Ctl_8hr_1	No	5222011LRA	Homo sapiens	5222011LRA	adult	female	wild type genotype	liver	hepatocyte	tamoxifen	tamoxifen-Control	cell	P-MTAB-23086	P-MTAB-23087	5222011LRA	P-MTAB-23090	5222011LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016060014	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.47.zip	tamoxifen	ChEMBL	CHEMBL83	none	  	  	8	hour
