# NAME= PRH_SVM_DEGs 
name	color
FNIP2	#F533FF
HSPA4L	#F533FF
TRUB2	#F533FF
STX17	#F533FF
RNF38	#F533FF
BMPR2	#F533FF
HGFAC	#F533FF
APTX	#F533FF
OGT	#F533FF
PAXIP1	#F533FF
DIP2B	#F533FF
CAST	#F533FF
NIBAN1	#F533FF
POLR2A	#F533FF
ENPEP	#F533FF
DIS3L2	#F533FF
RSRP1	#F533FF
PDIA5	#F533FF
GINM1	#F533FF
NNAT	#F533FF
TOR1AIP2	#F533FF
EVA1A	#F533FF
CPQ	#F533FF
